date,newUser,activeUser,onlineTimeMin,onlineTimeMinNewUser,次留,3留,4留,5留,6留,7留,10留,14留,截止至目前的留存
2025/2/10,0,10,29.3,,,,,,,,,,
2025/2/9,1,13,26.48,6.27,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025/2/8,0,19,18.58,,,,,,,,,,
2025/2/7,3,21,55.05,46.83,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025/2/6,0,19,50.61,,,,,,,,,,
2025/2/5,4,27,41.95,77.04,50.00%,50.00%,25.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%
2025/2/4,0,22,22.86,,,,,,,,,,
2025/2/3,0,20,25.54,,,,,,,,,,
2025/2/2,1,26,50.57,34.47,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025/2/1,2,31,45.76,22.81,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025/1/31,0,33,48.01,,,,,,,,,,
2025/1/30,6,47,48.37,36.34,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,0.00%,0.00%,0.00%
2025/1/29,11,54,31.6,25.87,9.09%,18.18%,9.09%,9.09%,9.09%,0.00%,0.00%,0.00%,0.00%
2025/1/28,9,53,40.76,17,0.00%,0.00%,0.00%,11.11%,11.11%,0.00%,0.00%,0.00%,0.00%
2025/1/27,9,61,38.86,18.97,11.11%,11.11%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025/1/26,19,80,48.76,54.91,52.63%,26.32%,26.32%,31.58%,26.32%,21.05%,10.53%,5.26%,0.00%
2025/1/25,26,86,40.91,48.23,46.15%,38.46%,26.92%,26.92%,15.38%,11.54%,0.00%,0.00%,0.00%
2025/1/24,24,105,77.22,19.9,25.00%,16.67%,8.33%,4.17%,12.50%,4.17%,0.00%,0.00%,0.00%
2025/1/23,24,108,49,24.29,25.00%,12.50%,12.50%,4.17%,0.00%,0.00%,0.00%,0.00%,0.00%
2025/1/22,23,119,45.98,37.64,26.09%,17.39%,0.00%,8.70%,8.70%,4.35%,0.00%,8.70%,0.00%
2025/1/21,37,171,48.69,29.44,16.22%,13.51%,5.41%,5.41%,2.70%,8.11%,5.41%,2.70%,0.00%
2025/1/20,69,252,54.41,32.66,21.74%,8.70%,10.14%,5.80%,4.35%,5.80%,1.45%,0.00%,0.00%
2025/1/19,124,351,49.8,29.95,20.97%,10.48%,8.87%,4.84%,5.65%,4.03%,1.61%,1.61%,0.00%
2025-01-18_2,470,566,33.46,29.2,26.38%,14.68%,8.94%,6.81%,3.62%,4.68%,2.77%,1.06%,0.00%
2025-01-18_1,108,239,39.58,30.47,12.04%,9.26%,5.56%,5.56%,7.41%,2.78%,1.85%,1.85%,0.00%
2025/1/17,675,675,37.52,37.52,24.30%,14.37%,11.85%,8.74%,5.33%,5.33%,2.81%,1.33%,0.00%
