termin_info,num
NX709S,1
V2002A,3
SM-W9024,1
21121210C,3
22101317C,3
RMX3361,1
RMX2173,2
V2055A,3
V2426A,3
MGA-AL00,1
23049RAD8C,24
V2285A,3
PBFM00,1
2304FPN6DC,2
RMX3560,2
RMX3551,1
V1962A,2
NX721J,5
NX669J,2
V2005A,1
V2301A,17
SKW-A0,2
OCE-AN10,2
PCNM00,1
Mi 10,4
PGGM10,4
rvndNFvQX0hd0bkcJBzekQ==,1
V2314DA,1
SHARK PAR-A0,2
PBAM00,2
V2231A,5
M2011K2C,4
Mi 10 Pro,1
WGR-W09,1
SDY-AN00,1
SM-G9910,1
NB709S,1
ANN-AN00,2
XT2175-2,1
DBY2-W00,1
2308CPXD0C,1
NOH-AN00,3
TEL-AN10,1
V2302A,7
24069RA21C,9
ELS-TN00,1
REA-AN00,5
PHK110,12
JEF-AN00,4
PGX110,1
TB331FC,1
V2106A,1
JAD-AL80,3
TET-AN50,1
V2168A,1
RKY-AN00,1
ELS-AN00,10
V2036A,3
LSA-AN00,4
V2171A,2
BAL-AN20,1
V2244A,3
PPA-AL20,1
V2243A,4
V1832A,1
M2010J19SC,1
MAO-AL00,1
FIN-AL60,2
V2339A,5
XQ-BC72,1
ANG-AN00,4
LIO-AL00,3
PCLM10,1
SM-S9110,1
TYH601M,1
TNA-AN00,1
NX712J,2
V2218A,3
PFJM10,3
ALN-AL80,16
V1916A,2
TAS-AL00,4
PJE110,5
V2232A,4
BAH3-W59,1
MXW-AN00,1
SM-G9750,2
JSN-AL00,1
ANA-AN00,5
PEHM00,1
PJB110,2
PDHM00,2
PGT-AN10,4
M2007J3SC,1
LE2110,1
PEYM00,2
SM-N9700,1
V2303A,2
PiB8koou4WcTtc6cPaSmSA==,1
V2270A,2
GAR-AN60,1
V2115A,1
ALA-AN70,1
M2012K10C,1
SM-W7023,1
OPPO A83,1
HWI-AL00,2
V2172A,4
V2156A,5
SM-A5260,1
V1981A,1
SM-G9350,1
SM-G7810,1
NX789J,2
Redmi Note 7 Pro,1
KB2000,2
SM-S9260,1
22101316C,1
V2359A,3
V2283A,1
PHW110,1
V2068A,1
SM-S9280,1
V2046A,1
RMX3350,1
HBP-AL00,3
MEIZU 21 Pro,1
2407FRK8EC,15
NX713J,1
CND-AN00,1
AMM-AN00,2
24090RA29C,1
ASUS_AI2203_C,1
LGE-AN00,1
V2354A,3
0,26
SUP-BD00,1
V2339FA,7
22127RK46C,12
V1938T,3
PDYM20,1
PJX110,2
V2318A,2
ICL-AL10,1
PHV110,1
BKY-W10,1
ASUS_AI2401_D,1
LNA-AL00,4
Redmi Note 8 Pro,2
V2185A,1
PHB110,1
23090RA98C,3
2311DRK48C,4
V2238A,9
KOZ-AL00,1
24018RPACC,1
2210132C,6
ALT-AL10,2
XQ-DQ72,1
PA2170,1
M2104K10AC,3
PDSM00,2
RMX3820,2
V1813BA,1
V2353A,2
LIO-AN00m,3
SM-S9060,1
V2072A,1
V2352A,5
VER-AN10,1
ICL-AL20,2
PBBT00,1
V2001A,2
PHU110,2
GM1900,1
HBN-AL10,1
PJZ110,4
NCO-AL00,3
iPA2375,1
PERM10,1
HD1900,1
ALN-AL00,19
MGA-AL40,1
FIN-AL60a,1
PJJ110,2
V2338A,12
SM-S9160,1
23054RA19C,8
PGT-AN20,2
ELI-AN00,3
DVC-AN20,1
V2361A,1
NOH-AN50,1
PIC-AL00,1
V2405A,2
16T,1
M2004J19C,1
PKB110,2
BTK-W00,1
V2031EA,1
M2102K1AC,5
SHARK KTUS-A0,2
Lenovo L71091,1
RMX3888,3
PBEM00,1
SHV47,1
SM-S7110,1
V2065A,1
22081212C,11
V2364A,3
NE2210,2
V1932A,2
M2102J2SC,3
RMX2200,1
DBY-W09,3
ZTE 7541N,1
24031PN0DC,4
PDEM10,1
JDY-AN00,2
PJC110,1
ELE-AL00,8
JNY-AL10,1
SM-S9080,3
BNE-AL00,5
unknown,1
V2020A,1
PCHM10,1
2107119DC,1
ANY-AN00,2
PEGT10,1
22120RN86C,1
JLH-AN00,2
Redmi K30 5G,3
V1824A,1
SPN-AL00,1
FNE-AN00,10
PEDM00,3
PGKM10,2
V2241A,3
23127PN0CC,26
V2323A,1
ADT-AN00,2
SM-G9900,1
WDY-AN00,3
PGJM10,4
V2324A,2
KKG-AN00,1
RMX3700,3
V2203A,3
BAH4-W19,1
MI 5X,1
PHT110,1
TB320FC,1
FGD-AL00,1
KRJ2-W09,1
SP100,1
JER-AN20,1
LIO-AN00,8
22122RK93C,2
NX709J,1
V2154A,4
MEIZU 20 Pro,9
OPPO R11,1
V2049A,2
2410DPN6CC,5
PFDM00,1
M2007J22C,1
TFY-AN00,1
22041216UC,4
DBR-W10,2
PEUM00,1
Precision 3660 (Dell Inc.),6
OCE-AN50,2
CET-AL60,2
NX769J,10
REP-AN00,3
V2344A,1
V2254A,5
NTH-AN00,6
V2219A,1
21091116AC,3
PGFM10,1
VOG-AL10,2
V2133A,3
V2230A,2
CLK-AN00,1
V2366HA,1
DUB-AL00,1
V1938CT,1
MEIZU 21,2
M2007J17C,1
VNE-AN40,1
ZTE A2023P,1
2112123AC,4
21091116C,4
24117RK2CC,6
PGEM10,1
V2415A,1
RMX5060,1
RMX3461,2
2312DRA50C,2
MI 8,2
PGCM10,3
Redmi Note 8,2
RMX3708,4
MIX 2S,1
2201122C,3
NEW-AN90,1
YAL-AL00,4
BVL-AN20,2
2201123C,4
2211133C,15
24115RA8EC,1
M2007J1SC,3
RMX3122,1
PKG110,1
24129RT7CC,1
PDVM00,2
PHS110,1
VER-AN00,1
AKA-AL10,2
HPB-AN00,5
ADY-AL00,2
PAAM00,1
JAD-AL00,4
TEL-AN00a,1
ALN-AL10,6
22011211C,6
PEQM00,3
V2419A,5
RMX3370,1
PHF110,1
MRX-W09,3
SO-53B,1
vivo NEX A,1
22021211RC,3
M2105K81AC,2
AOSP on Intel Platform,1
22041216C,11
JDN2-W09,1
SP200,1
ALH-BD00,1
COL-AL10,1
M2101K9C,2
V1965A,1
FOA-AL00,1
PBBM00,1
iPA2453,1
PJY110,3
ALI-AN00,7
M2012K11C,5
PHY110,2
V2314A,3
PHP110,5
PGT-AN00,2
VP005,1
V2272A,1
Hera-BD00,1
PCHM30,4
V2048A,1
PACT00,1
2312DRAABC,2
Lenovo L38012,1
HD1910,1
RMX3092,1
PFZM10,1
ELZ-AN10,1
YAL-AL50,3
TGR-W10,1
Redmi K30 Pro Zoom Edition,1
V2031A,4
PEGM00,2
BLK-AL00,2
21051182C,1
V2227A,1
V2324HA,1
BRQ-AN00,3
DCO-AL00,5
YAL-AL10,1
PJG110,1
V2054A,3
V1923A,2
V2025A,1
BMH-AN10,2
V2366GA,1
HLK-AL10,1
24129PN74C,13
A201XM,1
23116PN5BC,13
LE2100,2
ABR-AL80,1
Redmi K20 Pro,1
ALP-AN00,7
V1809A,1
PHM110,2
RNA-AN00,1
PA2373,1
OPPO R11s,1
RMX3850,3
MI 9,3
RMX3800,4
OXF-AN00,2
TRT-AL00,1
PTP-AN00,2
PESM10,1
PGP110,2
23013RK75C,26
NX702J,1
V2196A,2
24122RKC7C,4
V2361GA,1
GLK-AL00,1
BND-AL10,1
M2012K11AC,13
SEA-AL10,3
PFTM10,1
V2279A,1
MNA-AL00,1
PGBM10,5
PELM00,1
HBN-AL80,4
CRT-AN00,3
V2164KA,1
FCP-AN10,1
SCMR-W09,1
TAS-AN00,7
2312CRAD3C,2
V1936A,4
V2131A,1
BRC-AN00,2
RTE-AL00,3
PGAM10,1
V1813A,1
G0615D,1
BMH-AN20,1
BRA-AL00,4
XT2137-2,1
PJH110,1
SHARK PRS-A0,1
2405CRPFDC,1
22081281AC,1
PCAM00,1
V2162A,1
LE2120,1
ANP-AN00,1
V2141A,1
V2312A,1
LYA-AL00,1
XQ-AT72,1
OPPO R11t,1
PTP-AN10,3
V2329A,4
STG-AL00,2
23078RKD5C,16
V2183A,3
V1934A,1
PHJ110,6
PJF110,4
RMX3562,1
SM-E5260,2
V2403A,4
23046RP50C,3
V2220A,1
PFVM10,1
NOH-AN01,1
CPH2583,1
V1831A,2
PCDM10,1
PJV110,2
ELP-AN00,3
MEIZU 21 Note,1
MT2110,3
HBN-AL00,4
V1986A,2
JEF-AN20,2
CTR-AL20,1
CET-AL00,5
JLN-AL00,1
HMA-AL00,1
V2217A,3
RMX3043,1
RMO-AN00,2
PACM00,1
VNE-AN00,1
CDY-AN90,1
MAA-AN10,3
PDPM00,1
SM-S9180,4
NX729J,2
PEGM10,2
ADA-AL00,4
NX659J,2
ADA-AL00U,1
V2417A,3
2206122SC,4
2203121C,2
vivo X20,2
PTP-AN60,1
RMX3366,2
DBR-W00,2
ABR-AL00,1
WLZ-AN00,3
22041211AC,13
NAM-AL00,4
V2148A,1
V2199A,1
RMX3706,1
V2425A,2
PLA-AL10,5
V2121A,2
XT2201-2,1
PJD110,10
V2278A,1
JAD-AL50,2
23113RKC6C,32
WGRR-W09,1
V2313A,1
MEIZU 20,1
PDRM00,2
2106118C,7
V2307A,11
vivo X21A,1
EBG-AN00,2
V2057A,1
PCEM00,1
V2047A,1
V2309A,3
Redmi K20 Pro Premium Edition,3
MAG-AN00,8
BVL-AN00,6
CDY-AN20,1
PEHT00,1
LGE-AN10,3
OXF-AN10,3
V2136A,3
CHL-AN00,1
24053PY09C,1
V2118A,4
PKA110,2
23117RK66C,9
V2073A,2
V1955A,2
V2024A,2
ug2sn3Ly/e8TJ0pxCOuV3w==,1
Zhangwanmini,1
V2408A,7
CMA-AN00,5
BAH3-AL00,1
PECM20,1
PKC110,1
PFEM10,1
PGZ110,5
MIX 2,1
PGT110,1
PJA110,10
HMA-TL00,1
PGW110,1
TB128FU,1
V2304A,8
OPPO R11 Pluskt,2
LGE-AN20,1
