"初始事件的发生时间","channel_name","国家地区","newUsersid数","指标","当日","第1日","第2日","第3日","第4日","第5日","第6日","第7日","第8日","第9日","第10日","第11日","第12日","第13日","第14日","第15日","第16日","第17日","第18日","第19日","第20日","第21日","第22日","第23日","第24日","第25日","第26日","第27日","第28日","第29日","第30日","第31日","第32日","第33日","第34日","第35日","第36日","第37日","第38日","第39日","第40日"
"阶段值","总体","总体","222513","充值成功（IAP）.充值金额（美金）阶段累计总和",5005.46,8719.34,11632.34,14183.6,16788.96,18932.86,21108.74,23327.12,25451.11,27523.4,29455.8,31554.03,33774.65,36569.25,40080.8,42890.61,45032.58,47186.53,49482.35,52423.17,55784.85,59435.25,63949.12,68392.72,73303.25,78116.55,86298.18,95771.73,108781.75,124443.72,140488.3,156103.51,182933.72,268203.11,"-","-","-","-","-","-","-"
"阶段值","AppStore","日本","151660","充值成功（IAP）.充值金额（美金）阶段累计总和",3703.3,6412.54,8537,10408.24,12324.48,13855.89,15413.56,16958.51,18483.99,19905.6,21337.8,22874.17,24638.7,26702.69,29395.02,31533.38,33139.52,34862.42,36566.21,38731.69,41362.07,44188.44,47861.27,51368.97,55800.45,60342.04,67134.39,74844.45,85539.49,98066.64,112258.98,127379.38,152229.62,229534.16,"-","-","-","-","-","-","-"
"阶段值","googleplay","日本","68704","充值成功（IAP）.充值金额（美金）阶段累计总和",1282.07,2246.44,3018.7,3688.12,4368.89,4967.4,5575.81,6230.78,6809.84,7439.2,7929.49,8473.83,8903.89,9626.46,10433.53,11084.55,11602.79,12015.99,12589.08,13338.08,14050.83,14845.95,15652.41,16564.89,17009.63,17245.82,18589.01,20435.6,22662.63,25656.53,27328.62,27935.58,30028.44,37929.01,"-","-","-","-","-","-","-"
"阶段值","AppStore","中国","756","充值成功（IAP）.充值金额（美金）阶段累计总和",4.17,29.61,35.32,41.93,46.22,54.74,61.05,66.86,76.96,90.04,95.2,105.38,112.8,119.22,121.03,127.51,134.03,142.8,153.53,164.23,175.6,189.11,198.64,214.06,235.47,236.45,265.51,181.57,208.35,250.02,308.04,21.95,26.94,50.9,"-","-","-","-","-","-","-"
"阶段值","googleplay","中国","289","充值成功（IAP）.充值金额（美金）阶段累计总和",1.24,6.18,10.41,11.68,13.48,14.77,15.9,19.27,21.77,25.64,27.12,29.95,37.31,42.52,47.88,57.45,60.75,65.56,69.78,79.29,77.69,83.97,94.21,105.23,116.66,141.51,138.21,97.61,115.04,138.05,176.31,243.42,366.62,229.57,"-","-","-","-","-","-","-"
"阶段值","AppStore","美国","113","充值成功（IAP）.充值金额（美金）阶段累计总和",5.13,7.58,8.27,8.65,8.89,9.13,9.37,11.98,15.13,16.13,16.47,16.47,22.82,23.37,24.65,26.02,27.55,24.29,24.29,25.9,27.75,29.89,32.38,18.43,20.28,22.53,26.59,30.39,35.46,42.55,53.19,67.92,24.46,14.99,"-","-","-","-","-","-","-"
"阶段值","googleplay","越南","106","充值成功（IAP）.充值金额（美金）阶段累计总和",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-"
"阶段值","googleplay","韩国","75","充值成功（IAP）.充值金额（美金）阶段累计总和",0,0,0,0,0,0.27,0.29,0.45,0.45,0.45,0.47,0.47,0.47,0.47,0.5,0.53,0.56,0.6,0.64,0.64,0.69,0.75,0.82,0.9,1,1.12,1.28,1.5,1.5,1.8,2.25,2.99,4.49,8.98,"-","-","-","-","-","-","-"
"阶段值","googleplay","泰国","72","充值成功（IAP）.充值金额（美金）阶段累计总和",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-"
"阶段值","AppStore","越南","58","充值成功（IAP）.充值金额（美金）阶段累计总和",0.67,0.72,1.11,2.16,3.93,4.28,4.74,4.74,5.17,5.17,5.17,5.17,5.52,6.13,6.27,6.27,6.27,6.75,3.4,3.4,3.4,3.4,3.4,3.71,4.09,4.54,5.11,5.84,6.81,8.17,10.21,13.62,19.93,0,"-","-","-","-","-","-","-"
"阶段值","googleplay","马来西亚","52","充值成功（IAP）.充值金额（美金）阶段累计总和",0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.14,0.14,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.23,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-"
"阶段值","AppStore","加拿大","37","充值成功（IAP）.充值金额（美金）阶段累计总和",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-"
