cards,battlenum,winnum,losenum
"[""10010"",""10012"",""10018"",""10019"",""10026"",""10028"",""10030"",""10031"",""20048"",""20050"",""10036"",""10037""]",2,2,0
"[""10010"",""10013"",""10026"",""20010"",""20047"",""10014"",""10028"",""10015"",""20034"",""10023"",""10027"",""20036""]",1,0,1
"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20038"",""10035"",""20022""]",2,2,0
"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20038"",""10035"",""20046""]",2,0,2
"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20038"",""10035"",""20047""]",6,5,1
"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20038"",""20036"",""20046""]",1,0,1
"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20038"",""20046"",""10025""]",3,1,2
"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20046"",""20011"",""10035""]",1,1,0
"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20046"",""20016"",""10035""]",2,1,1
"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20046"",""20038"",""10035""]",34,16,18
"[""10010"",""10013"",""10032"",""20010"",""20018"",""10012"",""10014"",""10028"",""20016"",""20039"",""10018"",""10045""]",2,1,1
"[""10010"",""10013"",""20012"",""20044"",""10023"",""10028"",""10014"",""20048"",""10021"",""20026"",""10030"",""20043""]",1,0,1
"[""10010"",""10013"",""20012"",""20044"",""10023"",""10028"",""20034"",""20048"",""10021"",""20026"",""10030"",""20043""]",2,0,2
"[""10010"",""10013"",""20021"",""20010"",""20018"",""10012"",""20034"",""10028"",""20026"",""20036"",""10018"",""10045""]",6,5,1
"[""10010"",""10013"",""20021"",""20016"",""20018"",""10012"",""20034"",""10028"",""20026"",""20036"",""20027"",""10045""]",9,4,5
"[""10010"",""10013"",""20036"",""10014"",""10023"",""10028"",""20034"",""20046"",""20050"",""20026"",""10030"",""20043""]",5,3,2
"[""10010"",""10013"",""20036"",""20044"",""10023"",""10028"",""20034"",""20012"",""20010"",""20026"",""10030"",""20043""]",1,1,0
"[""10010"",""10013"",""20036"",""20044"",""10023"",""10028"",""20034"",""20012"",""20050"",""20026"",""10030"",""20043""]",5,3,2
"[""10010"",""10013"",""20036"",""20044"",""10023"",""10028"",""20034"",""20048"",""10021"",""20026"",""10030"",""20043""]",7,4,3
"[""10010"",""10013"",""20043"",""20036"",""20025"",""10014"",""20049"",""20050"",""20029"",""10034"",""10046"",""10024""]",1,0,1
"[""10010"",""10013"",""20046"",""20010"",""20024"",""10045"",""10021"",""10027"",""20034"",""20014"",""10028"",""10025""]",3,3,0
"[""10010"",""10014"",""10013"",""10026"",""20014"",""20036"",""10028"",""20050"",""20046"",""20038"",""20034"",""20027""]",1,1,0
"[""10010"",""10014"",""10017"",""10025"",""10028"",""20037"",""20044"",""10024"",""10019"",""10021"",""10030"",""10032""]",2,0,2
"[""10010"",""10014"",""10017"",""10028"",""20016"",""20043"",""20050"",""10031"",""10021"",""20026"",""10030"",""10019""]",6,3,3
"[""10010"",""10014"",""10021"",""10030"",""10013"",""10024"",""20050"",""20016"",""10031"",""10028"",""20043"",""10017""]",3,2,1
"[""10010"",""10014"",""10021"",""10030"",""10013"",""20014"",""20050"",""20016"",""10031"",""10028"",""20043"",""10017""]",1,1,0
"[""10010"",""10014"",""10023"",""10030"",""10013"",""20014"",""20050"",""20016"",""10031"",""10028"",""20043"",""10017""]",2,0,2
"[""10010"",""10014"",""10023"",""10030"",""10013"",""20014"",""20050"",""20034"",""10031"",""10028"",""20043"",""10017""]",2,0,2
"[""10010"",""10014"",""10028"",""20044"",""10018"",""10043"",""20026"",""10019"",""10021"",""10030"",""20036"",""10020""]",2,1,1
"[""10010"",""10014"",""10028"",""20044"",""10018"",""20026"",""10019"",""10021"",""10030"",""20036"",""10020"",""20049""]",2,1,1
"[""10010"",""10014"",""10028"",""20044"",""10018"",""20026"",""10019"",""10021"",""10030"",""20036"",""20043"",""10024""]",4,2,2
