,cards,battlenum,winnum,losenum,newCards,newCardsName
0,"[""10010"",""10012"",""10018"",""10019"",""10026"",""10028"",""10030"",""10031"",""20048"",""20050"",""10036"",""10037""]",2,2,0,"[10010, 10012, 10018, 10019, 10026, 10028, 10030, 10031, 10036, 10037, 20048, 20050]","['电吉他 和鸣', '摩托 赤狸', '萨克斯 莉莉', '电池 焦耳', '爆米花 米莉', '羽毛球 拉丽', '鼠标 点点', '注射器 针妮', '纯净水 满满', '红汽水 浅浅', '超电磁炮', '海浪冲击']"
1,"[""10010"",""10013"",""10026"",""20010"",""20047"",""10014"",""10028"",""10015"",""20034"",""10023"",""10027"",""20036""]",1,0,1,"[10010, 10013, 10014, 10015, 10023, 10026, 10027, 10028, 20010, 20034, 20036, 20047]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '留声机 回音', '牙膏 露洁', '爆米花 米莉', '牛奶 银河', '羽毛球 拉丽', '有丝分裂', '补水计划', '巨雷枪', '临摹']"
2,"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20038"",""10035"",""20022""]",2,2,0,"[10010, 10013, 10014, 10026, 10028, 10035, 20014, 20022, 20024, 20034, 20038, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '纯净水 浅浅', '见证我！', '蓄力', '裂地斩', '补水计划', '飞砖', '海浪冲击']"
3,"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20038"",""10035"",""20046""]",2,0,2,"[10010, 10013, 10014, 10026, 10028, 10035, 20014, 20024, 20034, 20038, 20046, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '纯净水 浅浅', '见证我！', '裂地斩', '补水计划', '飞砖', '重新出发', '海浪冲击']"
4,"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20038"",""10035"",""20047""]",6,5,1,"[10010, 10013, 10014, 10026, 10028, 10035, 20014, 20024, 20034, 20038, 20047, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '纯净水 浅浅', '见证我！', '裂地斩', '补水计划', '飞砖', '临摹', '海浪冲击']"
5,"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20038"",""20036"",""20046""]",1,0,1,"[10010, 10013, 10014, 10026, 10028, 20014, 20024, 20034, 20036, 20038, 20046, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '见证我！', '裂地斩', '补水计划', '巨雷枪', '飞砖', '重新出发', '海浪冲击']"
6,"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20038"",""20046"",""10025""]",3,1,2,"[10010, 10013, 10014, 10025, 10026, 10028, 20014, 20024, 20034, 20038, 20046, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '电池 伏特', '爆米花 米莉', '羽毛球 拉丽', '见证我！', '裂地斩', '补水计划', '飞砖', '重新出发', '海浪冲击']"
7,"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20046"",""20011"",""10035""]",1,1,0,"[10010, 10013, 10014, 10026, 10028, 10035, 20011, 20014, 20024, 20034, 20046, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '纯净水 浅浅', '魅惑', '见证我！', '裂地斩', '补水计划', '重新出发', '海浪冲击']"
8,"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20046"",""20016"",""10035""]",2,1,1,"[10010, 10013, 10014, 10026, 10028, 10035, 20014, 20016, 20024, 20034, 20046, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '纯净水 浅浅', '见证我！', '引力炸弹', '裂地斩', '补水计划', '重新出发', '海浪冲击']"
9,"[""10010"",""10013"",""10026"",""20024"",""10014"",""10028"",""20050"",""20034"",""20014"",""20046"",""20038"",""10035""]",34,16,18,"[10010, 10013, 10014, 10026, 10028, 10035, 20014, 20024, 20034, 20038, 20046, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '纯净水 浅浅', '见证我！', '裂地斩', '补水计划', '飞砖', '重新出发', '海浪冲击']"
