,cardName,winnum,losenum
00,电吉他 和鸣,2,0
01,摩托 赤狸,2,0
02,萨克斯 莉莉,2,0
03,电池 焦耳,2,0
04,爆米花 米莉,2,0
05,羽毛球 拉丽,2,0
06,鼠标 点点,2,0
07,注射器 针妮,2,0
08,超电磁炮,2,0
09,海浪冲击,2,0
010,纯净水 满满,2,0
011,红汽水 浅浅,2,0
10,电吉他 和鸣,0,1
11,雨伞 守心,0,1
12,爆米花 米莉,0,1
13,有丝分裂,0,1
14,临摹,0,1
15,茶壶 灵愈,0,1
16,羽毛球 拉丽,0,1
17,留声机 回音,0,1
18,补水计划,0,1
19,牙膏 露洁,0,1
110,电吉他 和鸣,0,1
111,雨伞 守心,0,1
20,电吉他 和鸣,2,0
21,雨伞 守心,2,0
22,爆米花 米莉,2,0
23,裂地斩,2,0
24,茶壶 灵愈,2,0
25,羽毛球 拉丽,2,0
26,海浪冲击,2,0
27,补水计划,2,0
28,见证我！,2,0
29,飞砖,2,0
210,电吉他 和鸣,1,0
211,茶壶 灵愈,1,0
30,电吉他 和鸣,0,2
31,雨伞 守心,0,2
32,爆米花 米莉,0,2
33,裂地斩,0,2
34,茶壶 灵愈,0,2
35,羽毛球 拉丽,0,2
36,海浪冲击,0,2
37,补水计划,0,2
38,见证我！,0,2
39,飞砖,0,2
310,电吉他 和鸣,1,0
311,茶壶 灵愈,1,0
40,电吉他 和鸣,5,1
41,雨伞 守心,5,1
42,爆米花 米莉,5,1
43,裂地斩,5,1
44,茶壶 灵愈,5,1
45,羽毛球 拉丽,5,1
46,海浪冲击,5,1
47,补水计划,5,1
48,见证我！,5,1
49,飞砖,5,1
410,电吉他 和鸣,2,1
411,电池 欧姆,2,1
50,电吉他 和鸣,0,1
51,雨伞 守心,0,1
52,爆米花 米莉,0,1
53,裂地斩,0,1
54,茶壶 灵愈,0,1
55,羽毛球 拉丽,0,1
56,海浪冲击,0,1
57,补水计划,0,1
58,见证我！,0,1
59,飞砖,0,1
510,电吉他 和鸣,2,1
511,电池 焦耳,2,1
60,电吉他 和鸣,1,2
61,雨伞 守心,1,2
62,爆米花 米莉,1,2
63,裂地斩,1,2
64,茶壶 灵愈,1,2
65,羽毛球 拉丽,1,2
66,海浪冲击,1,2
67,补水计划,1,2
68,见证我！,1,2
69,飞砖,1,2
610,电吉他 和鸣,0,2
611,书 幻梦,0,2
70,电吉他 和鸣,1,0
71,雨伞 守心,1,0
72,爆米花 米莉,1,0
73,裂地斩,1,0
74,茶壶 灵愈,1,0
75,羽毛球 拉丽,1,0
76,海浪冲击,1,0
77,补水计划,1,0
78,见证我！,1,0
79,重新出发,1,0
710,电吉他 和鸣,1,0
711,爆米花 米莉,1,0
80,电吉他 和鸣,1,1
81,雨伞 守心,1,1
82,爆米花 米莉,1,1
83,裂地斩,1,1
84,茶壶 灵愈,1,1
85,羽毛球 拉丽,1,1
86,海浪冲击,1,1
87,补水计划,1,1
88,见证我！,1,1
89,重新出发,1,1
810,电吉他 和鸣,1,0
811,爆米花 米莉,1,0
90,电吉他 和鸣,16,18
91,雨伞 守心,16,18
92,爆米花 米莉,16,18
93,裂地斩,16,18
94,茶壶 灵愈,16,18
95,羽毛球 拉丽,16,18
96,海浪冲击,16,18
97,补水计划,16,18
98,见证我！,16,18
99,重新出发,16,18
910,电吉他 和鸣,1,0
911,爆米花 米莉,1,0
100,电吉他 和鸣,1,1
101,雨伞 守心,1,1
102,自行车 闪电,1,1
103,有丝分裂,1,1
104,引导,1,1
105,摩托 赤狸,1,1
106,茶壶 灵愈,1,1
107,羽毛球 拉丽,1,1
108,引力炸弹,1,1
109,战术核武,1,1
1010,电吉他 和鸣,0,1
1011,羽毛球 拉丽,0,1
112,弹射锯片,0,1
113,胡乱抓挠,0,1
114,牙膏 露洁,0,1
115,羽毛球 拉丽,0,1
116,茶壶 灵愈,0,1
117,超电磁炮,0,1
118,铅笔 追忆,0,1
119,风暴针刺,0,1
1110,电吉他 和鸣,0,1
1111,羽毛球 拉丽,0,1
120,电吉他 和鸣,0,2
121,雨伞 守心,0,2
122,弹射锯片,0,2
123,胡乱抓挠,0,2
124,牙膏 露洁,0,2
125,羽毛球 拉丽,0,2
126,补水计划,0,2
127,超电磁炮,0,2
128,铅笔 追忆,0,2
129,风暴针刺,0,2
1210,电吉他 和鸣,1,0
1211,羽毛球 拉丽,1,0
130,电吉他 和鸣,5,1
131,雨伞 守心,5,1
132,精准引导,5,1
133,有丝分裂,5,1
134,引导,5,1
135,摩托 赤狸,5,1
136,补水计划,5,1
137,羽毛球 拉丽,5,1
138,风暴针刺,5,1
139,巨雷枪,5,1
1310,电吉他 和鸣,0,1
1311,注射器 针妮,0,1
140,电吉他 和鸣,4,5
141,雨伞 守心,4,5
142,精准引导,4,5
143,引力炸弹,4,5
144,引导,4,5
145,摩托 赤狸,4,5
146,补水计划,4,5
147,羽毛球 拉丽,4,5
148,风暴针刺,4,5
149,巨雷枪,4,5
1410,电吉他 和鸣,0,1
1411,自行车 闪电,0,1
150,电吉他 和鸣,3,2
151,雨伞 守心,3,2
152,巨雷枪,3,2
153,茶壶 灵愈,3,2
154,牙膏 露洁,3,2
155,羽毛球 拉丽,3,2
156,补水计划,3,2
157,重新出发,3,2
158,海浪冲击,3,2
159,风暴针刺,3,2
1510,电吉他 和鸣,1,1
1511,纯净水 浅浅,1,1
160,电吉他 和鸣,1,0
161,雨伞 守心,1,0
162,巨雷枪,1,0
163,胡乱抓挠,1,0
164,牙膏 露洁,1,0
165,羽毛球 拉丽,1,0
166,补水计划,1,0
167,弹射锯片,1,0
168,有丝分裂,1,0
169,风暴针刺,1,0
1610,电吉他 和鸣,2,2
1611,肥皂 滑滑,2,2
170,电吉他 和鸣,3,2
171,雨伞 守心,3,2
172,巨雷枪,3,2
173,胡乱抓挠,3,2
174,牙膏 露洁,3,2
175,羽毛球 拉丽,3,2
176,补水计划,3,2
177,弹射锯片,3,2
178,海浪冲击,3,2
179,风暴针刺,3,2
1710,电吉他 和鸣,8,7
1711,有丝分裂,8,7
180,电吉他 和鸣,4,3
181,雨伞 守心,4,3
182,巨雷枪,4,3
183,胡乱抓挠,4,3
184,牙膏 露洁,4,3
185,羽毛球 拉丽,4,3
186,补水计划,4,3
187,超电磁炮,4,3
188,铅笔 追忆,4,3
189,风暴针刺,4,3
1810,电吉他 和鸣,0,1
1811,魅惑,0,1
190,电吉他 和鸣,0,1
191,雨伞 守心,0,1
192,爆裂药瓶,0,1
193,巨雷枪,0,1
194,修建工事,0,1
195,茶壶 灵愈,0,1
196,尖刺墙,0,1
197,海浪冲击,0,1
198,人工降雨,0,1
199,剪刀 刺痛,0,1
1910,电吉他 和鸣,3,0
1911,引导,3,0
200,电吉他 和鸣,3,0
201,雨伞 守心,3,0
202,重新出发,3,0
203,有丝分裂,3,0
204,裂地斩,3,0
205,盔甲 怀抱,3,0
206,铅笔 追忆,3,0
207,牛奶 银河,3,0
208,补水计划,3,0
209,见证我！,3,0
2010,电吉他 和鸣,4,3
2011,风暴针刺,4,3
212,雨伞 守心,1,0
213,爆米花 米莉,1,0
214,见证我！,1,0
215,巨雷枪,1,0
216,羽毛球 拉丽,1,0
217,海浪冲击,1,0
218,重新出发,1,0
219,飞砖,1,0
2110,电吉他 和鸣,9,5
2111,补水计划,9,5
220,电吉他 和鸣,0,2
221,茶壶 灵愈,0,2
222,电池 欧姆,0,2
223,电池 伏特,0,2
224,羽毛球 拉丽,0,2
225,投石支援,0,2
226,胡乱抓挠,0,2
227,书 幻梦,0,2
228,电池 焦耳,0,2
229,铅笔 追忆,0,2
2210,电吉他 和鸣,0,1
2211,混乱补给,0,1
230,电吉他 和鸣,3,3
231,茶壶 灵愈,3,3
232,电池 欧姆,3,3
233,羽毛球 拉丽,3,3
234,引力炸弹,3,3
235,爆裂药瓶,3,3
236,海浪冲击,3,3
237,注射器 针妮,3,3
238,铅笔 追忆,3,3
239,风暴针刺,3,3
2310,电吉他 和鸣,1,1
2311,接力,1,1
240,电吉他 和鸣,2,1
241,茶壶 灵愈,2,1
242,铅笔 追忆,2,1
243,鼠标 点点,2,1
244,雨伞 守心,2,1
245,书 幻梦,2,1
246,海浪冲击,2,1
247,引力炸弹,2,1
248,注射器 针妮,2,1
249,羽毛球 拉丽,2,1
2410,电吉他 和鸣,0,1
2411,重新出发,0,1
250,电吉他 和鸣,1,0
251,茶壶 灵愈,1,0
252,铅笔 追忆,1,0
253,鼠标 点点,1,0
254,雨伞 守心,1,0
255,见证我！,1,0
256,海浪冲击,1,0
257,引力炸弹,1,0
258,注射器 针妮,1,0
259,羽毛球 拉丽,1,0
2510,电吉他 和鸣,1,0
2511,临摹,1,0
260,电吉他 和鸣,0,2
261,茶壶 灵愈,0,2
262,牙膏 露洁,0,2
263,鼠标 点点,0,2
264,雨伞 守心,0,2
265,见证我！,0,2
266,海浪冲击,0,2
