"日期","channel_name","国家地区","newUser","activeUser","payNum","payNumWeb","payUser","activePayUser","payRate","payUserNew","payRateNew","ARPU","ARPPU","onlineTimeMin","payNumNew","payUserNew2","payNum2"
"2024-06-27(四)","AppStore","日本","36,467","36,471","25,027.2","0","1,524","3,780","4.18%","1,524","4.18%","0.69","16.42","79.61","25,027.2","1,525","25,027.2"
"2024-06-27(四)","googleplay","日本","9,020","9,025","3,702.38","0","299","634","3.31%","299","3.31%","0.41","12.38","64.67","3,702.38","299","3,702.38"
"2024-06-27(四)","AppStore","中国","99","102","99.99","0","1","7","0.98%","0","0%","0.98","99.99","63.55","0","0","0"
"2024-06-27(四)","googleplay","中国","47","47","13.94","0","3","4","6.38%","3","6.38%","0.3","4.65","108.47","13.94","3","13.94"
"2024-06-27(四)","AppStore","美国","14","15","0","0","0","1","0%","0","0%","0","0","61.18","0","0","0"
"2024-06-27(四)","googleplay","越南","21","21","-","-","-","-","0%","0","0%","0","-","49.77","-","-","-"
"2024-06-27(四)","googleplay","韩国","7","7","0","0","0","1","0%","0","0%","0","0","71.66","0","0","0"
"2024-06-27(四)","googleplay","泰国","9","9","0","0","0","0","0%","0","0%","0","0","35.06","0","0","0"
"2024-06-27(四)","AppStore","越南","12","12","0","0","0","0","0%","0","0%","0","0","39.99","0","0","0"
"2024-06-27(四)","googleplay","马来西亚","9","9","0","0","0","0","0%","0","0%","0","0","56.94","0","0","0"
"2024-06-27(四)","googleplay","美国","3","3","-","-","-","0","0%","0","0%","0","-","46.96","-","-","-"
"2024-06-27(四)","AppStore","加拿大","7","7","0","0","0","0","0%","0","0%","0","0","64","0","0","0"
"2024-06-27(四)","AppStore","泰国","8","8","11.97","0","1","2","12.5%","1","12.5%","1.5","11.97","132.53","11.97","1","11.97"
"2024-06-27(四)","AppStore","韩国","7","7","0","0","0","0","0%","0","0%","0","0","56.69","0","0","0"
"2024-06-27(四)","googleplay","印度尼西亚","2","2","0","0","0","0","0%","0","0%","0","-","8.93","0","0","0"
"2024-06-27(四)","AppStore","澳大利亚","2","2","0","0","0","0","0%","0","0%","0","0","143.5","0","0","0"
"2024-06-27(四)","googleplay","俄罗斯","7","7","-","-","-","-","0%","0","0%","0","-","62.75","-","-","-"
"2024-06-27(四)","AppStore","马来西亚","4","4","0.99","0","1","1","25%","1","25%","0.25","0.99","79.08","0.99","1","0.99"
"2024-06-27(四)","AppStore","英国","6","6","0","0","0","2","0%","0","0%","0","0","66.09","0","0","0"
"2024-06-27(四)","googleplay","墨西哥","2","2","0","0","0","0","0%","0","0%","0","0","22.37","0","0","0"
"2024-06-27(四)","googleplay","新加坡","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","巴西","1","1","-","-","-","-","0%","0","0%","0","-","87.95","-","-","-"
"2024-06-27(四)","AppStore","新加坡","2","4","0","0","0","1","0%","0","0%","0","0","92.4","0","0","0"
"2024-06-27(四)","AppStore","菲律宾","2","2","-","-","-","0","0%","0","0%","0","-","84.18","-","-","-"
"2024-06-27(四)","googleplay","加拿大","4","4","-","-","-","-","0%","0","0%","0","-","33.22","-","-","-"
"2024-06-27(四)","AppStore","新西兰","2","2","-","-","-","-","0%","0","0%","0","-","117.63","-","-","-"
"2024-06-27(四)","googleplay","法国","3","3","-","-","-","-","0%","0","0%","0","-","33.55","-","-","-"
"2024-06-27(四)","googleplay","多米尼加共和国","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","智利","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","德国","1","1","-","-","-","-","0%","0","0%","0","-","10.92","-","-","-"
"2024-06-27(四)","AppStore","俄罗斯","2","2","-","-","-","-","0%","0","0%","0","-","195.67","-","-","-"
"2024-06-27(四)","googleplay","阿根廷","2","2","-","-","-","-","0%","0","0%","0","-","8.62","-","-","-"
"2024-06-27(四)","AppStore","德国","2","2","0","0","0","0","0%","0","0%","0","0","71.48","0","0","0"
"2024-06-27(四)","googleplay","菲律宾","1","1","0","0","0","0","0%","0","0%","0","0","57.28","0","0","0"
"2024-06-27(四)","AppStore","印度尼西亚","2","2","0","0","0","0","0%","0","0%","0","0","49.23","0","0","0"
"2024-06-27(四)","googleplay","秘鲁","1","1","-","-","-","-","0%","0","0%","0","-","32.3","-","-","-"
"2024-06-27(四)","googleplay","澳大利亚","0","0","-","-","-","0","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","巴西","1","1","0","0","0","0","0%","0","0%","0","0","122.97","0","0","0"
"2024-06-27(四)","googleplay","哥伦比亚","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","法国","1","1","0","0","0","1","0%","0","0%","0","0","17.95","0","0","0"
"2024-06-27(四)","googleplay","厄瓜多尔","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","英国","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","意大利","1","1","-","-","-","-","0%","0","0%","0","-","203.88","-","-","-"
"2024-06-27(四)","AppStore","荷兰","0","0","-","-","-","0","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","哥斯达黎加","1","1","-","-","-","-","0%","0","0%","0","-","78.13","-","-","-"
"2024-06-27(四)","googleplay","西班牙","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","印度","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","阿根廷","0","0","-","-","-","0","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","柬埔寨","1","1","-","-","-","-","0%","0","0%","0","-","12.3","-","-","-"
"2024-06-27(四)","AppStore","瑞士","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","比利时","1","1","-","-","-","-","0%","0","0%","0","-","6.87","-","-","-"
"2024-06-27(四)","AppStore","西班牙","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","乌拉圭","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","蒙古","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","印度","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","埃及","1","1","-","-","-","-","0%","0","0%","0","-","20.07","-","-","-"
"2024-06-27(四)","googleplay","巴拿马","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","AppStore","瑞典","0","0","-","-","-","0","0%","0","0%","0","-","0","-","-","-"
"2024-06-27(四)","googleplay","沙特阿拉伯","0","0","-","-","-","-","0%","0","0%","0","-","0","-","-","-"
