"初始事件的发生时间","channel_name","国家地区","newUsersid数","指标","当日","第1日","第2日","第3日","第4日","第5日","第6日","第7日","第8日","第9日","第10日","第11日","第12日","第13日","第14日","第15日","第16日","第17日","第18日","第19日","第20日","第21日","第22日","第23日","第24日","第25日","第26日","第27日","第28日","第29日","第30日","第31日","第32日","第33日","第34日","第35日","第36日","第37日","第38日","第39日","第40日","第41日","第42日","第43日","第44日","第45日","第46日","第47日","第48日","第49日","第50日","第51日","第52日","第53日","第54日","第55日","第56日","第57日","第58日","第59日","第60日"
"阶段值","总体","总体","222513","留存人数","222513","101758","72688","60317","52031","47056","43948","41241","38306","37385","34194","31333","29671","28286","27719","25626","23560","21744","20177","18625","17440","16372","15207","14149","13227","12186","11459","10692","9666","8552","7610","6189","4812","3593","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","总体","总体","222513","留存率","100%","45.92%","33.01%","27.63%","24.02%","21.87%","20.6%","19.5%","18.27%","17.97%","16.63%","15.42%","14.74%","14.19%","14.08%","13.2%","12.41%","11.77%","11.21%","10.62%","10.21%","9.81%","9.32%","8.86%","8.6%","8.33%","8.17%","8.02%","7.69%","7.33%","7.17%","7.1%","7.24%","7.85%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","日本","151660","留存人数","151660","74930","54422","45594","39417","35772","33743","31761","29656","29175","26661","24395","23137","22150","21890","20272","18640","17232","16021","14864","13946","13108","12224","11458","10725","9974","9426","8831","7967","7084","6320","5163","4055","3059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","日本","151660","留存率","100%","49.59%","36.21%","30.57%","26.59%","24.26%","23.02%","21.81%","20.49%","20.3%","18.73%","17.29%","16.53%","15.95%","15.9%","14.89%","13.94%","13.15%","12.48%","11.81%","11.31%","10.81%","10.25%","9.77%","9.42%","9.11%","8.93%","8.79%","8.38%","7.95%","7.74%","7.66%","7.73%","8.39%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","日本","68704","留存人数","68704","26012","17752","14300","12241","10948","9890","9183","8387","7958","7286","6717","6329","5926","5648","5181","4761","4363","4016","3631","3377","3143","2870","2591","2412","2136","1956","1795","1638","1420","1240","990","730","518","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","日本","68704","留存率","100%","38.06%","26.18%","21.33%","18.46%","16.7%","15.3%","14.4%","13.33%","12.77%","11.89%","11.16%","10.66%","10.14%","9.86%","9.23%","8.77%","8.39%","8.05%","7.59%","7.37%","7.13%","6.78%","6.33%","6.26%","6.01%","5.83%","5.66%","5.56%","5.34%","5.26%","5.22%","5.4%","5.74%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","AppStore","中国","756","留存人数","756","299","188","161","142","130","125","119","102","100","101","93","82","83","73","65","66","56","54","55","46","48","47","38","34","30","28","18","20","15","17","13","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","AppStore","中国","756","留存率","100%","39.6%","24.93%","21.38%","18.96%","17.38%","16.82%","16.08%","13.86%","13.64%","13.8%","12.77%","11.34%","11.53%","10.24%","9.23%","9.48%","8.21%","8.16%","8.49%","7.29%","7.84%","7.89%","6.53%","6.09%","5.8%","5.81%","3.98%","4.73%","3.84%","5.01%","4.92%","4.86%","6.06%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"阶段值","googleplay","中国","289","留存人数","289","103","70","53","48","44","41","37","33","30","32","27","27","28","25","25","21","24","21","21","19","19","17","15","13","13","13","11","13","10","11","8","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阶段值","googleplay","中国","289","留存率","100%","36.4%","24.82%","18.86%","17.08%","15.83%","15.02%","13.86%","12.5%","11.67%","12.6%","10.8%","10.93%","11.62%","10.59%","10.73%","9.13%","10.86%","9.68%","9.95%","9.36%","9.84%","9.5%","8.77%","7.98%","8.78%","9.63%","8.73%","11.02%","9.09%","11.22%","9.2%","10.26%","8.51%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
